"id","title","description","product_type","link","image_link","condition","availability","price","sale_price","sale_price_effective_date","brand"
"67","SamSung Galaxy S6 32GB Màu Đen Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy s6 32gb màu đen quốc tế mỹ qsd 99% giá tốt nhất","Product","https://www.vietanhmobile.com/samsung-galaxy-s6-32gb-mau-den-quoc-te-my-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-mau-den-world-my-99-slide-1.jpg","new","in stock","5790000","","","Samsung S6"
"68","SamSung Galaxy S6 32GB Màu Trắng Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy s6 32gb màu trắng quốc tế mỹ qsd 99% giá tốt","Product","https://www.vietanhmobile.com/samsung-galaxy-s6-32gb-mau-trang-quoc-te-my-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-mau-trang-world-my-99-slide-1.jpg","new","in stock","5890000","","","Samsung S6"
"78","Sony Xperia Z3 2 Sim Quốc Tế Màu Đồng","sony xperia z3 2 sim quốc tế màu đồng","Product","https://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-dong.html","https://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-copper-slide-1.jpg","new","in stock","8690000","","","Sony"
"79","Sony Xperia Z3 2 Sim Quốc Tế Màu Đen","Sony xperia z3 2 sim quốc tế màu đen giá tốt","Product","https://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-den.html","https://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-black-slide-1.jpg","new","in stock","8690000","","","Sony"
"80","Sony Xperia Z3 2 Sim Quốc Tế Màu Trắng","Sony xperia z3 2 sim quốc tế màu trắng giá tốt","Product","https://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-trang.html","https://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-white-main-slide-1.jpg","new","in stock","8690000","","","Sony"
"81","Sony Xperia Z3 2 Sim Quốc Tế Màu Xanh","Sony xperia z3 2 sim quốc tế màu xanh giá tốt","Product","https://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-xanh.html","https://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-green-slide-1.jpg","new","in stock","8690000","","","Sony"
"83","iPad mini 1 16GB + 3G Đen/Trắng Hàng Trưng Bày","ipad mini 1 16gb + 3g đen/trắng qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-1-16gb-3g-den-trang-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Apple-ipad-mini-1-16g-3g-silver-side-1.jpg","new","in stock","4890000","","","iPad Mini 1"
"131","Ốp viền cho iPhone 5S","ốp viền cho iphone 5s","Product","https://www.vietanhmobile.com/op-vien-cho-iphone-5s.html","https://www.vietanhmobile.com/hinh-anh/san-pham/op-vien-apple-iphone5s-side-2.jpg","new","in stock","190000","","","Ốp Lưng iPhone"
"135","Củ Sạc Apple Chính Hãng cho iPhone","sạc apple chính hãng cho iphone","Product","https://www.vietanhmobile.com/sac-apple-chinh-hang-cho-iphone.html","https://www.vietanhmobile.com/hinh-anh/san-pham/cusac-slide.jpg","new","in stock","200000","","","Phụ Kiện Apple"
"136","Cáp Apple Lightning iPhone Chính hãng","cáp apple lightning iphone chính hãng","Product","https://www.vietanhmobile.com/cap-apple-lightning-iphone-chinh-hang.html","https://www.vietanhmobile.com/hinh-anh/san-pham/daysac-slide.jpg","new","in stock","200000","","","Phụ Kiện Apple"
"137","Tai nghe apple chính hãng","tai nghe apple chính hãng ","Product","https://www.vietanhmobile.com/tai-nghe-apple-chinh-hang.html","https://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe5-slide.jpg","new","in stock","270000","","","Phụ Kiện Apple"
"152","Sạc dự phòng Xiaomi 10400 MAH chính hãng","sạc dự phòng xiaomi 10400 mah chính hãng","Product","https://www.vietanhmobile.com/sac-du-phong-xiaomi-10400-mah-chinh-hang.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-10400-chính-hãng-main.jpg","new","in stock","690000","","","Pin Dự Phòng"
"153","Sạc dự phòng Xiaomi 5000 MAH chính hãng","sạc dự phòng xiaomi 5000 mah chính hãng","Product","https://www.vietanhmobile.com/sac-du-phong-xiaomi-5000-mah-chinh-hang.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-5000-chính-hãng-main.jpg","new","in stock","340000","","","Pin Dự Phòng"
"154","Sạc Dự Phòng Xiaomi Chính Hãng 10000mAh","sạc dự phòng xiaomi chính hãng 10000mah","Product","https://www.vietanhmobile.com/sac-du-phong-xiaomi-chinh-hang-10000mah.html","https://www.vietanhmobile.com/hinh-anh/san-pham/pin-du-phong-xiaomi-5000-mah-side-1.jpg","new","in stock","490000","","","Pin Dự Phòng"
"155","Sạc Dự Phòng Xiaomi Chính Hãng 16000mAh","sạc dự phòng xiaomi chính hãng 16000mah","Product","https://www.vietanhmobile.com/sac-du-phong-xiaomi-chinh-hang-16000mah.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-16000-chính-hãng-main.jpg","new","in stock","690000","","","Pin Dự Phòng"
