"id","title","description","link","image link","condition","availability","price","brand","google product category"
"1","iPhone 5C 8GB White (Trắng) Quốc Tế Hàng Trưng Bày","iPhone 5c 8gb white (trắng) quốc tế qsd 99% giá tốt nhất","http://www.vietanhmobile.com/iphone-5c-8gb-white-trang-quoc-te-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-5c-8gb-white-trang-quoc-te-qsd-99-slide-1.jpg","new","in stock","2690000 VND","IPhone 5C",""
"6","iPhone 5C 8GB Yellow (Vàng) Quốc Tế Hàng Trưng Bày","iPhone 5c 8gb yellow (vàng) quốc tế qsd 99% giá tốt nhất","http://www.vietanhmobile.com/iphone-5c-8gb-yellow-vang-quoc-te-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-5c-8gb-yellow-vang-quoc-te-qsd-99-slide-1.png","new","in stock","2690000 VND","IPhone 5C",""
"738","iPhone 5 Quốc Tế Hàng Trưng Bày","iphone 5 quốc tế hàng trưng bày giá tốt nhất","http://www.vietanhmobile.com/iphone-5-quoc-te-hang-trung-bay.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-5-quoc-te-likenew-99-slide-1.png","new","in stock","3290000 VND","IPhone 5",""
"489","iPhone 5C Lock 16GB Pink (Hồng) Hàng Trưng Bày","iphone 5c lock 16gb pink (hồng) likenew 99%","http://www.vietanhmobile.com/iphone-5c-lock-16gb-pink-hong-likenew-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-5c-16gb-pink-hong-lock-qsd-99-slide-1.jpg","new","in stock","2390000 VND","IPhone 5C",""
"488","iPhone 5C Lock 16GB Green (Xanh Lá) Hàng Trưng Bày","iphone 5c 16gb green (xanh lá) lock likenew 99%","http://www.vietanhmobile.com/iphone-5c-16gb-green-xanh-la-lock-likenew-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-5c-16gb-green-xanh-la-lock-qsd-99-slide-1.jpg","new","in stock","2490000 VND","IPhone 5C",""
"490","iPhone 5C Lock 16GB Yellow (Vàng) Hàng Trưng Bày","iphone 5c 16gb yellow (vàng) lock likenew 99%","http://www.vietanhmobile.com/iphone-5c-16gb-yellow-vang-lock-likenew-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-5c-16gb-yellow-vang-lock-qsd-99-slide-1.png","new","in stock","2490000 VND","IPhone 5C",""
"66","SamSung Galaxy S6 32GB Màu Vàng Quốc Tế Mỹ Hàng Trưng Bày","samsung galaxy s6 32gb màu vàng quốc tế mỹ qsd 99%","http://www.vietanhmobile.com/samsung-galaxy-s6-32gb-mau-vang-quoc-te-my-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-mau-vang-world-my-99-slide-1.jpg","new","in stock","1000 VND","Samsung S6",""
"67","SamSung Galaxy S6 32GB Màu Đen Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy s6 32gb màu đen quốc tế mỹ qsd 99% giá tốt nhất","http://www.vietanhmobile.com/samsung-galaxy-s6-32gb-mau-den-quoc-te-my-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-mau-den-world-my-99-slide-1.jpg","new","in stock","5790000 VND","Samsung S6",""
"68","SamSung Galaxy S6 32GB Màu Trắng Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy s6 32gb màu trắng quốc tế mỹ qsd 99% giá tốt","http://www.vietanhmobile.com/samsung-galaxy-s6-32gb-mau-trang-quoc-te-my-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-mau-trang-world-my-99-slide-1.jpg","new","in stock","5890000 VND","Samsung S6",""
"477","SamSung Galaxy S6 Edge Plus 32GB Màu Đen (Black) Quốc Tế Mỹ Hàng Trưng Bày","samsung galaxy s6 edge plus 32gb màu đen (black) quốc tế mỹ hàng trưng bày","http://www.vietanhmobile.com/samsung-galaxy-s6-edge-plus-32gb-mau-den-black-quoc-te-my-hang-trung-bay.html","http://www.vietanhmobile.com/hinh-anh/san-pham/S6-edge-plus-32GB-black-usa-99-slide-1.jpg","new","in stock","9090000 VND","Samsung S6 Edge Plus",""
"412","SamSung Galaxy Note 4 32GB Màu Đồng Quốc Tế Mỹ Hàng Trưng Bày","Samsung galaxy note 4 32gb màu đồng quốc tế mỹ qsd 99%","http://www.vietanhmobile.com/samsung-galaxy-note-4-32gb-mau-dong-quoc-te-my-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-note-4-copper-usa-99-slide-1.jpg","new","in stock","6290000 VND","Samsung Note 4",""
"78","Sony Xperia Z3 2 Sim Quốc Tế Màu Đồng","sony xperia z3 2 sim quốc tế màu đồng","http://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-dong.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-copper-slide-1.jpg","new","in stock","8690000 VND","Sony",""
"79","Sony Xperia Z3 2 Sim Quốc Tế Màu Đen","Sony xperia z3 2 sim quốc tế màu đen giá tốt","http://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-den.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-black-slide-1.jpg","new","in stock","8690000 VND","Sony",""
"80","Sony Xperia Z3 2 Sim Quốc Tế Màu Trắng","Sony xperia z3 2 sim quốc tế màu trắng giá tốt","http://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-trang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-white-main-slide-1.jpg","new","in stock","8690000 VND","Sony",""
"81","Sony Xperia Z3 2 Sim Quốc Tế Màu Xanh","Sony xperia z3 2 sim quốc tế màu xanh giá tốt","http://www.vietanhmobile.com/sony-xperia-z3-2-sim-quoc-te-mau-xanh.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sony-xperia-z3-2-sim-world-green-slide-1.jpg","new","in stock","8690000 VND","Sony",""
"83","iPad mini 1 16GB + 3G Đen/Trắng Hàng Trưng Bày","ipad mini 1 16gb + 3g đen/trắng qsd 99%","http://www.vietanhmobile.com/ipad-mini-1-16gb-3g-den-trang-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Apple-ipad-mini-1-16g-3g-silver-side-1.jpg","new","out of stock","4890000 VND","iPad Mini 1",""
"330","iPad 3 32GB + 3G Đen/Trắng Hàng Trưng Bày","ipad 3 32gb + 3g đen/trắng qsd 99%","http://www.vietanhmobile.com/ipad-3-32gb-3g-den-trang-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/ipad-3-32g-3g-black-white-99.jpg","new","out of stock","5890000 VND","iPad 3",""
"131","Ốp viền cho iPhone 5S","ốp viền cho iphone 5s","http://www.vietanhmobile.com/op-vien-cho-iphone-5s.html","http://www.vietanhmobile.com/hinh-anh/san-pham/op-vien-apple-iphone5s-side-2.jpg","new","out of stock","190000 VND","Ốp Lưng iPhone",""
"135","Sạc apple chính hãng cho iPhone","sạc apple chính hãng cho iphone","http://www.vietanhmobile.com/sac-apple-chinh-hang-cho-iphone.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sạc-iphone-6-plus-main.jpg","new","out of stock","250000 VND","Phụ Kiện iPhone",""
"136","Cáp Apple Lightning iPhone Chính hãng","cáp apple lightning iphone chính hãng","http://www.vietanhmobile.com/cap-apple-lightning-iphone-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/cap-usb-apple-iphone-6-plus-main.jpg","new","out of stock","250000 VND","Phụ Kiện iPhone",""
"137","Tai nghe apple chính hãng","tai nghe apple chính hãng ","http://www.vietanhmobile.com/tai-nghe-apple-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-apple-iphone-6-plus-main.jpg","new","out of stock","350000 VND","Phụ Kiện iPhone",""
"138","Sạc apple chính hãng cho iPhone 5","sạc apple chính hãng cho iphone 5","http://www.vietanhmobile.com/sac-apple-chinh-hang-cho-iphone-5.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sạc-iphone-5-main.jpg","new","out of stock","190000 VND","Phụ kiện iphone 5",""
"139","Cáp usb kết nối iPhone 5","cáp usb kết nối iphone 5","http://www.vietanhmobile.com/cap-usb-ket-noi-iphone-5.html","http://www.vietanhmobile.com/hinh-anh/san-pham/cap-usb-apple-iphone5-main.jpg","new","out of stock","150000 VND","Phụ kiện iphone 5",""
"140","Tai nghe apple cho iPhone 5","tai nghe apple cho iphone 5","http://www.vietanhmobile.com/tai-nghe-apple-cho-iphone-5.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-apple-iphone5-main.jpg","new","out of stock","400000 VND","Phụ kiện iphone 5",""
"141","Sạc apple chính hãng cho iPhone 4","sạc apple chính hãng cho iphone 4","http://www.vietanhmobile.com/sac-apple-chinh-hang-cho-iphone-4.html","http://www.vietanhmobile.com/hinh-anh/san-pham/sạc-iphone-6-plus-main.jpg","new","out of stock","190000 VND","Phụ kiện iphone 4",""
"142","Cáp usb kết nối iPhone 4","cáp usb kết nối iphone 4","http://www.vietanhmobile.com/cap-usb-ket-noi-iphone-4.html","http://www.vietanhmobile.com/hinh-anh/san-pham/cap-usb-apple-iphone-4-main.jpg","new","out of stock","150000 VND","Phụ kiện iphone 4",""
"143","Tai nghe apple cho iPhone 4","tai nghe apple cho iphone 4","http://www.vietanhmobile.com/tai-nghe-apple-cho-iphone-4.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-apple-iphone-6-plus-main.jpg","new","out of stock","400000 VND","Phụ kiện iphone 4",""
"144","Miếng dán cường lực cho iphone 4 chính hãng","miếng dán cường lực cho iphone 4 chính hãng","http://www.vietanhmobile.com/mieng-dan-cuong-luc-cho-iphone-4-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Miếng-dán-cường-lực-cho-iphone-4-chính-hãng-main.jpg","new","out of stock","130000 VND","Phụ kiện iphone 4",""
"145","Miếng dán cường lực cho iphone 5 chính hãng","miếng dán cường lực cho iphone 5 chính hãng","http://www.vietanhmobile.com/mieng-dan-cuong-luc-cho-iphone-5-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Miếng-dán-cường-lực-cho-iphone-5-chính-hãng-side1.jpg","new","out of stock","1000 VND","Phụ kiện iphone 5",""
"146","Miếng dán cường lực cho iphone 4S chính hãng","miếng dán cường lực cho iphone 4s chính hãng","http://www.vietanhmobile.com/mieng-dan-cuong-luc-cho-iphone-4s-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Miếng-dán-cường-lực-cho-iphone-4-chính-hãng-main.jpg","new","out of stock","1000 VND","Phụ kiện iphone 4S",""
"147","Tai nghe apple cho iPhone 4S","tai nghe apple cho iphone 4s","http://www.vietanhmobile.com/tai-nghe-apple-cho-iphone-4s.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-apple-iphone-6-plus-main.jpg","new","out of stock","1000 VND","Phụ kiện iphone 4S",""
"152","Sạc dự phòng Xiaomi 10400 MAH chính hãng","sạc dự phòng xiaomi 10400 mah chính hãng","http://www.vietanhmobile.com/sac-du-phong-xiaomi-10400-mah-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-10400-chính-hãng-main.jpg","new","out of stock","690000 VND","Pin Dự Phòng",""
"153","Sạc dự phòng Xiaomi 5000 MAH chính hãng","sạc dự phòng xiaomi 5000 mah chính hãng","http://www.vietanhmobile.com/sac-du-phong-xiaomi-5000-mah-chinh-hang.html","http://www.vietanhmobile.com/hinh-anh/san-pham/Sạc-dự-phòng-Xiaomi-5000-chính-hãng-main.jpg","new","out of stock","340000 VND","Pin Dự Phòng",""
